[?1034hType                                  Module                      Label             Process   
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "combinedSecondaryVertexMVABJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ghostTrackBJetTags"        ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "jetBProbabilityBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "jetProbabilityBJetTags"    ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "simpleSecondaryVertexHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "simpleSecondaryVertexHighPurBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softElectronByIP3dBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softElectronByPtBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softMuonBJetTags"          ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softMuonByIP3dBJetTags"    ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softMuonByPtBJetTags"      ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "trackCountingHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "trackCountingHighPurBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<reco::JetExtendedAssociation::JetExtendedData>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak5JetExtender"            ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<reco::JetExtendedAssociation::JetExtendedData>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak7JetExtender"            ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<reco::JetExtendedAssociation::JetExtendedData>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "kt4JetExtender"            ""                "RECO"    
edm::ConditionsInEventBlock           "conditionsInEdm"           ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "refittedStandAloneMuons"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "standAloneMuons"           ""                "RECO"    
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "towerMaker"                ""                "RECO"    
edm::SortedCollection<CastorRecHit,edm::StrictWeakOrdering<CastorRecHit> >    "castorreco"                ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEB"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEE"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsES"      ""                "RECO"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedHcalRecHits"        "hbhereco"        "RECO"    
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "reducedHcalRecHits"        "hfreco"          "RECO"    
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "RECO"    
edm::TriggerResults                   "TriggerResults"            ""                "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValueCharged03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValueCharged04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValueChargedAll03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValueChargedAll04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValueGamma03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValueGamma04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValueNeutral03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValueNeutral04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValuePU03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFIsoValuePU04"   "RECO"    
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "electrons"       "RECO"    
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "muons"           "RECO"    
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "photons"         "RECO"    
edm::ValueMap<float>                  "eidLoose"                  ""                "RECO"    
edm::ValueMap<float>                  "eidRobustHighEnergy"       ""                "RECO"    
edm::ValueMap<float>                  "eidRobustLoose"            ""                "RECO"    
edm::ValueMap<float>                  "eidRobustTight"            ""                "RECO"    
edm::ValueMap<float>                  "eidTight"                  ""                "RECO"    
edm::ValueMap<reco::CastorJetID>      "ak7CastorJetID"            ""                "RECO"    
edm::ValueMap<reco::DeDxData>         "dedxDiscrimASmi"           ""                "RECO"    
edm::ValueMap<reco::DeDxData>         "dedxHarmonic2"             ""                "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositJets"          ""                "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositTk"            ""                "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ecal"            "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muons"                     "ecal"            "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "hcal"            "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muons"                     "hcal"            "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ho"              "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muons"                     "ho"              "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muons"                     "muIsoDepositJets"   "RECO"    
edm::ValueMap<reco::IsoDeposit>       "muons"                     "muIsoDepositTk"   "RECO"    
edm::ValueMap<reco::JetID>            "ak5JetID"                  ""                "RECO"    
edm::ValueMap<reco::JetID>            "ak7JetID"                  ""                "RECO"    
edm::ValueMap<reco::JetID>            "kt4JetID"                  ""                "RECO"    
edm::ValueMap<reco::JetID>            "kt6JetID"                  ""                "RECO"    
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "RECO"    
edm::ValueMap<reco::MuonMETCorrectionData>    "muonMETValueMapProducer"   "muCorrData"      "RECO"    
edm::ValueMap<reco::MuonMETCorrectionData>    "muonTCMETValueMapProducer"   "muCorrData"      "RECO"    
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "RECO"    
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "RECO"    
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "RECO"    
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "RECO"    
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"    
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationAgainstElectron"   ""                "RECO"    
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationAgainstMuon"   ""                "RECO"    
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByECALIsolation"   ""                "RECO"    
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByIsolation"   ""                "RECO"    
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByLeadingTrackFinding"   ""                "RECO"    
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByLeadingTrackPtCut"   ""                "RECO"    
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByTrackIsolation"   ""                "RECO"    
reco::GlobalHaloData                  "GlobalHaloData"            ""                "RECO"    
reco::JetPiZeroAssociation            "ak5PFJetsRecoTauPiZeros"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFinding"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseChargedIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseElectronRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseMuonRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVAElectronRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumChargedIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumElectronRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumMuonRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawChargedIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawCombinedIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawGammaIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightChargedIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightElectronRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightMuonRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseChargedIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseCombinedIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolationDBSumPtCorr"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByDecayModeSelection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLeadingPionPtCut"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLeadingTrackFinding"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLeadingTrackPtCut"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLooseElectronRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLooseIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLooseMuonRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByMediumElectronRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByMediumIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTanc"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancLoose"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancMedium"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancRaw"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancTight"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancVLoose"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTightElectronRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTightIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTightMuonRejection"   ""                "RECO"    
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByVLooseIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationAgainstElectron"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationAgainstMuon"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByECALIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByECALIsolationUsingLeadingPion"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByIsolationUsingLeadingPion"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByLeadingPionPtCut"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByLeadingTrackFinding"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByLeadingTrackPtCut"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNC"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNCfrHalfPercent"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNCfrOnePercent"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNCfrQuarterPercent"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNCfrTenthPercent"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTrackIsolation"   ""                "RECO"    
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTrackIsolationUsingLeadingPion"   ""                "RECO"    
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "RECO"    
vector<DcsStatus>                     "scalersRawToDigi"          ""                "RECO"    
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "RECO"    
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "RECO"    
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "RECO"    
vector<LumiScalers>                   "scalersRawToDigi"          ""                "RECO"    
vector<double>                        "ak5CaloJets"               "rhos"            "RECO"    
vector<double>                        "ak5PFJets"                 "rhos"            "RECO"    
vector<double>                        "ak5TrackJets"              "rhos"            "RECO"    
vector<double>                        "ak7BasicJets"              "rhos"            "RECO"    
vector<double>                        "ak7CaloJets"               "rhos"            "RECO"    
vector<double>                        "ak7PFJets"                 "rhos"            "RECO"    
vector<double>                        "kt4CaloJets"               "rhos"            "RECO"    
vector<double>                        "kt4PFJets"                 "rhos"            "RECO"    
vector<double>                        "kt6CaloJets"               "rhos"            "RECO"    
vector<double>                        "kt6PFJets"                 "rhos"            "RECO"    
vector<double>                        "ak5CaloJets"               "sigmas"          "RECO"    
vector<double>                        "ak5PFJets"                 "sigmas"          "RECO"    
vector<double>                        "ak5TrackJets"              "sigmas"          "RECO"    
vector<double>                        "ak7BasicJets"              "sigmas"          "RECO"    
vector<double>                        "ak7CaloJets"               "sigmas"          "RECO"    
vector<double>                        "ak7PFJets"                 "sigmas"          "RECO"    
vector<double>                        "kt4CaloJets"               "sigmas"          "RECO"    
vector<double>                        "kt4PFJets"                 "sigmas"          "RECO"    
vector<double>                        "kt6CaloJets"               "sigmas"          "RECO"    
vector<double>                        "kt6PFJets"                 "sigmas"          "RECO"    
vector<edm::ErrorSummaryEntry>        "logErrorHarvester"         ""                "RECO"    
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "RECO"    
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "RECO"    
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "RECO"    
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "RECO"    
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "RECO"    
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "RECO"    
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "RECO"    
vector<reco::BasicJet>                "ak7BasicJets"              ""                "RECO"    
vector<reco::CaloCluster>             "hfEMClusters"              ""                "RECO"    
vector<reco::CaloCluster>             "hybridSuperClusters"       "hybridBarrelBasicClusters"   "RECO"    
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "multi5x5EndcapBasicClusters"   "RECO"    
vector<reco::CaloCluster>             "pfElectronTranslator"      "pf"              "RECO"    
vector<reco::CaloCluster>             "pfPhotonTranslator"        "pfphot"          "RECO"    
vector<reco::CaloCluster>             "hybridSuperClusters"       "uncleanOnlyHybridBarrelBasicClusters"   "RECO"    
vector<reco::CaloJet>                 "ak5CaloJets"               ""                "RECO"    
vector<reco::CaloJet>                 "ak7CaloJets"               ""                "RECO"    
vector<reco::CaloJet>                 "kt4CaloJets"               ""                "RECO"    
vector<reco::CaloJet>                 "kt6CaloJets"               ""                "RECO"    
vector<reco::CaloMET>                 "corMetGlobalMuons"         ""                "RECO"    
vector<reco::CaloMET>                 "met"                       ""                "RECO"    
vector<reco::CaloMET>                 "metHO"                     ""                "RECO"    
vector<reco::CaloMET>                 "metNoHF"                   ""                "RECO"    
vector<reco::CaloTau>                 "caloRecoTauProducer"       ""                "RECO"    
vector<reco::CaloTauTagInfo>          "caloRecoTauTagInfoProducer"   ""                "RECO"    
vector<reco::CastorTower>             "CastorTowerReco"           ""                "RECO"    
vector<reco::Conversion>              "allConversions"            ""                "RECO"    
vector<reco::Conversion>              "conversions"               ""                "RECO"    
vector<reco::Conversion>              "uncleanedOnlyAllConversions"   ""                "RECO"    
vector<reco::Conversion>              "pfPhotonTranslator"        "pfphot"          "RECO"    
vector<reco::GsfElectron>             "gsfElectrons"              ""                "RECO"    
vector<reco::GsfElectron>             "uncleanedOnlyGsfElectrons"   ""                "RECO"    
vector<reco::GsfElectronCore>         "gsfElectronCores"          ""                "RECO"    
vector<reco::GsfElectronCore>         "uncleanedOnlyGsfElectronCores"   ""                "RECO"    
vector<reco::GsfTrack>                "electronGsfTracks"         ""                "RECO"    
vector<reco::HFEMClusterShape>        "hfEMClusters"              ""                "RECO"    
vector<reco::JPTJet>                  "JetPlusTrackZSPCorJetAntiKt5"   ""                "RECO"    
vector<reco::JPTJet>                  "TCTauJetPlusTrackZSPCorJetAntiKt5"   ""                "RECO"    
vector<reco::MET>                     "htMetAK5"                  ""                "RECO"    
vector<reco::MET>                     "htMetAK7"                  ""                "RECO"    
vector<reco::MET>                     "htMetIC5"                  ""                "RECO"    
vector<reco::MET>                     "htMetKT4"                  ""                "RECO"    
vector<reco::MET>                     "htMetKT6"                  ""                "RECO"    
vector<reco::MET>                     "tcMet"                     ""                "RECO"    
vector<reco::MET>                     "tcMetWithPFclusters"       ""                "RECO"    
vector<reco::Muon>                    "muons"                     ""                "RECO"    
vector<reco::Muon>                    "muonsFromCosmics"          ""                "RECO"    
vector<reco::Muon>                    "muonsFromCosmics1Leg"      ""                "RECO"    
vector<reco::PFCandidate>             "particleFlow"              ""                "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "AddedMuonsAndHadrons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedCosmicsMuons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedFakeMuons"   "RECO"    
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedHF"       "RECO"    
